,name,id,lat,lng,userscount,visitscount,checkinscount,tipcount,zipcode
220,Manchu Wok,4ad7619df964a520ef0921e3,40.759426075016286,-73.97933898625391,169,308,306,6,10112
221,China Wok,4d9a5532d97ba1434cf5366b,40.758913482575764,-73.98030264734459,2,2,2,0,11416
222,mang chu wok,4c0e7d7e343ec9b69f7f6b75,40.759369,-73.979071,3,4,4,0,10020
223,Xi'an Famous Foods,517021ffe4b0ad9829ae7815,40.755964519301465,-73.98074456728409,12687,24202,13447,238,10036
224,Szechuan Gourmet,47af5d00f964a5209e4d1fe3,40.752197360026386,-73.98368302207766,7508,12049,8581,175,10018
225,Calle Dão,53f29ab9498e248b534f7759,40.75239396102473,-73.98413520228499,3580,4869,2225,42,10018
226,Hakkasan,4ea832fe8b8154b19ffa31ad,40.75822103861813,-73.99015090774017,8220,11443,8365,148,10036
227,Kung Fu Little Steamed Buns Ramen,52b782a6498ee2a8438f4150,40.76159729016552,-73.98656783215048,6088,9037,4950,142,10019
228,Panda Express,57bdfbb4498e68c4b71697da,40.761017128295435,-73.99083090318739,562,981,646,7,10036
229,Chaan Teng,58267d7eb4f96246b74368b5,40.76218296501885,-73.98984588380407,711,865,379,3,10036
230,China Xiang,56f85fba498ed90422c0e8f5,40.75823445243313,-73.99244142800832,380,547,359,4,10036
231,Ollie's Sichuan Restaurant,4aa707ccf964a520d84b20e3,40.75869555247971,-73.99322083968677,4298,6336,4344,53,10036
232,Hing Won,4a537bb9f964a52054b21fe3,40.7583235037965,-73.9800829749137,1273,4052,3430,40,10036
233,Savour Sichuan,54db9021498ee7bd148d3d06,40.75315799135671,-73.9860598167793,495,736,487,9,10018
234,Ginger's,4ae7264af964a520e2a821e3,40.75317836771786,-73.9890789165319,3115,6112,5496,77,10018
235,Tasty Hand-Pulled Noodles II,55da5c5d498ea579b2923db6,40.76063191503683,-73.99101904180245,569,955,730,7,10036
236,Manting Chinese Famous Foods,556f5220498e875eca7b9c7a,40.76019318484058,-73.98314074118191,446,890,703,3,10019
237,Golden City,4b0980eff964a520611823e3,40.75337989525288,-73.99645332512665,393,1339,1194,12,10001
238,Zest Szechuan,56e067e2498ee4f64c6605b3,40.752657675388065,-73.98468550354744,291,422,376,7,10018
239,Ming's Chinese Food Express,4f325e2019836c91c7d0deb5,40.754301,-73.988741,9,33,33,0,10018
240,China Gourmet,4ad34ef5f964a520b9e320e3,40.7638459000745,-73.98505443709347,692,1943,1724,11,10019
241,Lili's 57,4a304695f964a52044991fe3,40.76534781354432,-73.98013219574734,1485,2810,2557,33,10019
242,Wu Liang Ye,3fd66200f964a520b4ea1ee3,40.758176633373814,-73.97968519480331,1955,2705,2597,41,10036
243,Modern Szechuan,54414b5a498e51b65b54dfd6,40.75578763299018,-73.98027031633278,36,142,122,0,10036
244,Kung Fu Kitchen,58f24fb30868a239e6757850,40.7614,-73.98698,48,54,53,0,10019
245,Mee Noodle Shop,4a652f71f964a5206cc71fe3,40.76535010393585,-73.9876721216885,1887,3351,3259,65,10019
246,Yumpling,59c151044b78c507e05447c9,40.764990865324066,-73.98223675697439,9,11,11,0,10019
247,Nanjing,5909fb755f68b97039deda86,40.762626,-73.984948,30,32,30,0,10019
248,Ming's Restaurant,4bb0e0e0f964a520e4653ce3,40.75289959873118,-73.9967027435105,215,628,564,4,10001
249,Chinese Culinary Competition,4ca4b82bf832a1cdc266a8e5,40.75884,-73.985102,6,10,10,0,10001
250,New Li Yuan Restaurant & Bakery,4a7b0519f964a520d1e91fe3,40.75448836700365,-73.9910519179946,270,890,818,16,10018
251,AA Jing,4a957d36f964a520652320e3,40.76191189992124,-73.99009104537538,1324,2245,2189,35,10036
252,Taste Kitchen,59e392e4916bc141768f54f0,40.753601,-73.993487,1,1,1,0,10018
253,China House,4b90466cf964a520b28033e3,40.79611360959822,-73.94861424336234,40,217,209,1,10029
254,Chinatown East Restaurant,4b292040f964a520459924e3,40.78274531667897,-73.950934857016,1904,4217,3780,27,10128
255,La Preciosa,4c157adca5eb76b04f78c3b7,40.798436038156716,-73.94098620994788,126,249,219,5,10029
256,A-Jiao Sichuan Cuisine,52ed887d498ecc66ab2e02b0,40.78302391641758,-73.94798723979062,88,169,168,6,10128
257,Steak and Hoagies,4ae650f0f964a52063a621e3,40.79645316593038,-73.94751165486693,224,746,565,4,10029
258,Moon House,4d9f6b7fa428a1cdf404c804,40.78813873952059,-73.94716118326511,360,711,440,7,10029
