address,price,zipcode
Garfield Ave,NA,07305
344 E 59th St,NA,10022
443 Route 17,$35.00 USD,07652
328 W 15th St,$72.00 USD,10011
700 Utica Ave,NA,11203
10216 Liberty Ave,$42.00 USD,11417
134 Bayard St,$27.00 USD,11222
765 Eighth Ave,NA,10036
276 Nostrand Ave,NA,11205
54-56 E Palisade Ave,$46.02 USD,07631
305 E 47th St,NA,10017
731-737 Flushing Ave,$28.50 USD,11206
259 1st St,$40.00 USD,07030
2514 50th Ave,NA,11101
5 Harrison St,NA,10013
1255-1258 McCarter Hwy,$12.00 - $16.00 USD,07104
4426 13th Ave,$75.00 USD,11219
89 Bartlett St,NA,11206
343 Central Ave,$24.55 USD,07307
325 Route 22,$9.00 USD,07205
38 Van Duzer St,$26.00 USD,10301
40 Van Duzer St,$21.00 USD,10301
853 Onderdonk Ave,NA,11385
192 Graham Ave,$59.97 USD,11206
60-01 31st Ave,$14.50 - $20.00 USD,11377
59-20 56th St,$24.00 USD,11378
1375 Madison Ave,NA,10128
24-57-24-61 47th St,$24.00 USD,11103
283 Bleecker St,$211.20 USD,10014
333 16th St,$9.00 USD,07072
44-46 W 28th St,$54.00 USD,10001
1359 Broadway,NA,10018
2840 3rd Ave,NA,10455
6 Lamont Ct,$22.20 USD,11225
8 Brighton 11th St,NA,11235
789 Broadway,$35.00 - $37.00 USD,11206
901 Myrtle Ave,$50.00 - $55.00 USD,11206
307 Knickerbocker Ave,$66.00 USD,11237
1901-1909 Broadway,$24.50 USD,11207
518 Timpson Pl,NA,10455
77 Hudson St,$45.00 USD,07302
